month,meanPressure,windSpeed,PAR,meanHumidity,windDirection,season,maxTide,minTide,salinity,seaSurfaceTemp
2013-01-01,1012.1,5.47,50.84,79.86,51.8,cool dry,1.25,0.28,35.5,26.27
2013-02-01,1011.89,3.83,51.48,77.34,71.58,cool dry,1.27,0.26,35.13,26.27
2013-03-01,1013.48,6.22,36.19,79.75,54.58,cool dry,1.3,0.27,35.62,26.57
2013-04-01,1015.67,5.37,35.78,79.25,70.64,cool dry,1.28,0.29,35.67,24.82
2013-05-01,1016.32,4.88,27.58,76.4,66.01,cool dry,1.25,0.26,35.77,24.05
2013-06-01,1017.4,3.73,21.69,81.65,71.94,cool dry,1.25,0.25,35.41,22.37
2013-07-01,1020.16,5.27,25.69,79.34,79.75,cool dry,1.25,0.29,34.45,20.73
2013-08-01,1018.84,4.38,31.2,75.15,90.27,cool dry,1.28,0.29,32.74,18.85
2013-09-01,1017.23,5.48,33.23,76.7,74.55,cool dry,1.32,0.29,32.32,21.05
2013-10-01,1015.74,5.91,38.72,77.88,56.02,cool dry,1.3,0.31,33.13,21.79
2013-11-01,1012.97,5.78,46.23,77.18,56.62,cool dry,1.27,0.3,35.22,22.89
2013-12-01,1010.23,3.97,52.86,76.18,72.88,cool dry,1.25,0.26,35.24,25.3
2014-01-01,1012.45,4.06,60.23,72.76,45.42,cool dry,1.26,0.24,35.45,28.73
2014-02-01,1012.07,3.87,50.46,73.86,42.54,cool dry,1.28,0.29,35.47,28.09
2014-03-01,1013.32,4.28,43.7,78.24,46.75,cool dry,1.3,0.25,35.36,27.1
2014-04-01,1015.63,4.69,34.91,78.97,60.59,cool dry,1.28,0.28,35.31,26.11
2014-05-01,1016.48,5.14,26.3,78.76,79.75,cool dry,1.27,0.28,35.54,23.89
2014-06-01,1017.87,4.3,22.5,80.35,68.8,cool dry,1.25,0.26,35.8,22.2
2014-07-01,1021.35,6.95,24.77,79.39,54.38,cool dry,1.26,0.25,35.44,21.6
2014-08-01,1019.42,5.24,31.83,78.08,60.67,cool dry,1.29,0.28,35.45,21.63
2014-09-01,1016.4,4.65,35.35,79.89,69.59,cool dry,1.31,0.28,35.75,22.09
2014-10-01,1016.48,5.15,43.65,76.87,52.22,cool dry,1.3,0.29,35.7,22.96
2014-11-01,1012.93,5.1,49.25,80.17,50.26,cool dry,1.27,0.29,35.64,23.7
2014-12-01,1011.84,3.06,50.3,77.54,63.66,cool dry,1.23,0.28,35.79,24.86
2015-01-01,1012.71,3.01,55.98,76.98,72.92,cool dry,1.25,0.27,35.77,28.68
2015-02-01,1011.61,4.51,49.11,82.48,60.84,cool dry,1.27,0.29,35.36,28.47
2015-03-01,1013.16,4.68,40.48,82.02,57.67,cool dry,1.27,0.28,35.33,27.27
2015-04-01,1015.2,6.64,34.49,82.22,58.47,cool dry,1.28,0.28,35.62,25.12
2015-05-01,1017.35,6.14,26.85,81.45,58.94,cool dry,1.28,0.34,35.54,23.91
2015-06-01,1020.07,5.99,26.65,76.8,46.28,cool dry,1.14,0.38,36.12,23.27
2015-07-01,1018.48,4.87,23.88,75.03,67.91,cool dry,1.28,0.25,36.56,21.81
2015-08-01,1018.06,4.88,34.65,73.47,40.59,cool dry,1.3,0.28,35.86,22.51
2015-09-01,1014.37,4.84,32.15,77.68,60.52,cool dry,1.32,0.27,35.68,22.49
2015-10-01,1015.32,6.52,33.55,79.68,47.57,cool dry,1.31,0.31,35.46,23.24
2015-11-01,1011.77,6.94,37.79,81.5,42.87,cool dry,1.28,0.3,34.19,24.65
2015-12-01,1011.71,6.18,45.76,77.36,44.73,cool dry,1.25,0.29,34.96,25.52
2016-01-01,1011.48,4.88,46.37,81.13,44.82,cool dry,1.25,0.28,35.35,25.22
2016-02-01,1012.21,3.05,52.22,75.17,60.57,cool dry,1.28,0.27,35.24,28.2
2016-03-01,1014.06,4.71,44.12,81.87,53.85,cool dry,1.25,0.28,35.42,27.24
2016-04-01,1014.17,3.36,40.44,79.87,35.75,cool dry,1.29,0.27,35.11,28.02
2016-05-01,1018.26,7.08,23.92,83.61,66.32,cool dry,1.27,0.26,34.97,23.35
2016-06-01,1021.63,4.47,21.06,88.05,115.28,cool dry,1.25,0.26,31.93,19.06
2016-07-01,1019.45,4.08,23.68,81.81,67.71,cool dry,1.27,0.26,29.7,19.12
2016-08-01,1018.06,4.63,28.22,84.13,74.42,cool dry,1.28,0.25,31.74,19.58
2016-09-01,1017.97,5.57,34.51,83.27,78.91,cool dry,1.32,0.28,33.17,21.38
2016-10-01,1014.48,8.53,42.72,83.87,37.9,cool dry,1.33,0.29,32.77,22.66
2016-11-01,1013.43,6.89,40.1,84.37,61.5,cool dry,1.29,0.29,34,24.05
2016-12-01,1011.65,6.76,55.24,79.76,78.49,cool dry,1.27,0.27,34.24,26.16
2017-01-01,1011.55,6.25,43.28,83.26,64.42,cool dry,1.26,0.26,33.78,28.64
2017-02-01,1012.07,5.27,53.57,80.13,60.12,cool dry,1.27,0.25,35.07,28.07
2017-03-01,1013.81,5.58,46.75,82.49,70.69,cool dry,1.3,0.26,35.86,26.67
2017-04-01,1015.87,7.8,30.74,83.92,44.63,cool dry,1.28,0.3,35.51,25.44
2017-05-01,1016.68,9.85,29.2,76.58,29.16,cool dry,1.27,0.28,36.62,22.54
2017-06-01,1019.13,4.73,25.54,68.69,63.61,cool dry,1.25,0.28,36.57,21.82
2017-07-01,1024.42,4.07,30.88,67.74,79.62,cool dry,1.25,0.28,36.44,21.61
