month,seaSurfaceTemp,maxTide,minTide,salinity
2013-01-01,26.27,1.25,0.28,35.5
2013-02-01,26.27,1.27,0.26,35.13
2013-03-01,26.57,1.3,0.27,35.62
2013-04-01,24.82,1.28,0.29,35.67
2013-05-01,24.05,1.25,0.26,35.77
2013-06-01,22.37,1.25,0.25,35.41
2013-07-01,20.73,1.25,0.29,34.45
2013-08-01,18.85,1.28,0.29,32.74
2013-09-01,21.05,1.32,0.29,32.32
2013-10-01,21.79,1.3,0.31,33.13
2013-11-01,22.89,1.27,0.3,35.22
2013-12-01,25.3,1.25,0.26,35.24
2014-01-01,28.73,1.26,0.24,35.45
2014-02-01,28.09,1.28,0.29,35.47
2014-03-01,27.1,1.3,0.25,35.36
2014-04-01,26.11,1.28,0.28,35.31
2014-05-01,23.89,1.27,0.28,35.54
2014-06-01,22.2,1.25,0.26,35.8
2014-07-01,21.6,1.26,0.25,35.44
2014-08-01,21.63,1.29,0.28,35.45
2014-09-01,22.09,1.31,0.28,35.75
2014-10-01,22.96,1.3,0.29,35.7
2014-11-01,23.7,1.27,0.29,35.64
2014-12-01,24.86,1.23,0.28,35.79
2015-01-01,28.68,1.25,0.27,35.77
2015-02-01,28.47,1.27,0.29,35.36
2015-03-01,27.27,1.27,0.28,35.33
2015-04-01,25.12,1.28,0.28,35.62
2015-05-01,23.91,1.28,0.34,35.54
2015-06-01,23.27,1.14,0.38,36.12
2015-07-01,21.81,1.28,0.25,36.56
2015-08-01,22.51,1.3,0.28,35.86
2015-09-01,22.49,1.32,0.27,35.68
2015-10-01,23.24,1.31,0.31,35.46
2015-11-01,24.65,1.28,0.3,34.19
2015-12-01,25.52,1.25,0.29,34.96
2016-01-01,25.22,1.25,0.28,35.35
2016-02-01,28.2,1.28,0.27,35.24
2016-03-01,27.24,1.25,0.28,35.42
2016-04-01,28.02,1.29,0.27,35.11
2016-05-01,23.35,1.27,0.26,34.97
2016-06-01,19.06,1.25,0.26,31.93
2016-07-01,19.12,1.27,0.26,29.7
2016-08-01,19.58,1.28,0.25,31.74
2016-09-01,21.38,1.32,0.28,33.17
2016-10-01,22.66,1.33,0.29,32.77
2016-11-01,24.05,1.29,0.29,34
2016-12-01,26.16,1.27,0.27,34.24
2017-01-01,28.64,1.26,0.26,33.78
2017-02-01,28.07,1.27,0.25,35.07
2017-03-01,26.67,1.3,0.26,35.86
2017-04-01,25.44,1.28,0.3,35.51
2017-05-01,22.54,1.27,0.28,36.62
2017-06-01,21.82,1.25,0.28,36.57
2017-07-01,21.61,1.25,0.28,36.44
2017-08-01,20.64,1.29,0.28,36.28
2017-09-01,22,1.32,0.26,36.14
2017-10-01,22.99,1.32,0.28,35.99
2017-11-01,22.65,1.31,0.29,35.98
2017-12-01,22.65,1.28,0.27,36.41
