county,region
Moffat,Western
Rio Blanco,Western
Garfield,Western
Routt,Western
Mesa,Western
Delta,Western
Gunnison,Western
Montrose,Western
Ouray,Western
San Miguel,Western
Hinsdale,Western
Dolores,Western
San Juan,Western
Montezuma,Western
La Plata,Western
Archuleta,Western
Jackson,Mountain
Grand,Mountain
Eagle,Mountain
Summit,Mountain
Clear Creek,Mountain
Gilpin,Mountain
Pitkin,Mountain
Lake,Mountain
Chaffee,Mountain
Park,Mountain
Teller,Mountain
Fremont,Mountain
Custer,Mountain
Saguache,Southern
Mineral,Southern
Rio Grande,Southern
Conejos,Southern
Alamosa,Southern
Costilla,Southern
Huerfano,Southern
Pueblo,Southern
Las Animas,Southern
Crowley,Southern
Otero,Southern
Kiowa,Southern
Bent,Southern
Prowers,Southern
Baca,Southern
Larimer,Front Range
Boulder,Front Range
Broomfield,Front Range
Denver,Front Range
Jefferson,Front Range
Douglas,Front Range
El Paso,Front Range
Adams,Front Range
Arapahoe,Front Range
Weld,Front Range
Logan,Eastern
Sedgwick,Eastern
Phillips,Eastern
Morgan,Eastern
Washington,Eastern
Yuma,Eastern
Elbert,Eastern
Lincoln,Eastern
Kit Carson,Eastern
Cheyenne,Eastern
